Variables
float32 x0 in [-1,1]float32 w0 in [-10,10],
float32 x1 in [-1,1]float32 w1 in [-10,10],
float32 x2 in [-1,1]float32 w2 in [-10,10],
float32 x3 in [-1,1]float32 w3 in [-10,10],
float32 x4 in [-1,1]float32 w4 in [-10,10],
float32 x5 in [-1,1]float32 w5 in [-10,10],
float32 x6 in [-1,1]float32 w6 in [-10,10],
float32 x7 in [-1,1]float32 w7 in [-10,10],
float32 x8 in [-1,1]float32 w8 in [-10,10],
float32 x9 in [-1,1]float32 w9 in [-10,10],
float32 x10 in [-1,1]float32 w10 in [-10,10],
float32 x11 in [-1,1]float32 w11 in [-10,10],
float32 x12 in [-1,1]float32 w12 in [-10,10],
float32 x13 in [-1,1]float32 w13 in [-10,10],
float32 x14 in [-1,1]float32 w14 in [-10,10];
exp64 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6),
exp65 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6),
exp66 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6),
exp67 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6),
exp68 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6),
exp69 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6),
exp70 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7),
exp71 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7),
exp72 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7),
exp73 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7),
exp74 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7),
exp75 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7),
exp76 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7),
exp77 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7),
exp78 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7),
exp79 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7),
exp80 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8),
exp81 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8),
exp82 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8),
exp83 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8),
exp84 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8),
exp85 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8),
exp86 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8),
exp87 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8),
exp88 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8),
exp89 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7+w98*x8),
exp90 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8+w09*x9),
exp91 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8+w19*x9),
exp92 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8+w29*x9),
exp93 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8+w39*x9),
exp94 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8+w49*x9),
exp95 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8+w59*x9),
exp96 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8+w69*x9),
exp97 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8+w79*x9),
exp98 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8+w89*x9),
exp99 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7+w98*x8+w99*x9),
exp100 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8+w09*x9+w010*x10),
exp101 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8+w19*x9+w110*x10),
exp102 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8+w29*x9+w210*x10),
exp103 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8+w39*x9+w310*x10),
exp104 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8+w49*x9+w410*x10),
exp105 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8+w59*x9+w510*x10),
exp106 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8+w69*x9+w610*x10),
exp107 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8+w79*x9+w710*x10),
exp108 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8+w89*x9+w810*x10),
exp109 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7+w98*x8+w99*x9+w910*x10),
exp110 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8+w09*x9+w010*x10+w011*x11),
exp111 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8+w19*x9+w110*x10+w111*x11),
exp112 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8+w29*x9+w210*x10+w211*x11),
exp113 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8+w39*x9+w310*x10+w311*x11),
exp114 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8+w49*x9+w410*x10+w411*x11),
exp115 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8+w59*x9+w510*x10+w511*x11),
exp116 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8+w69*x9+w610*x10+w611*x11),
exp117 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8+w79*x9+w710*x10+w711*x11),
exp118 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8+w89*x9+w810*x10+w811*x11),
exp119 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7+w98*x8+w99*x9+w910*x10+w911*x11),
exp120 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8+w09*x9+w010*x10+w011*x11+w012*x12),
exp121 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8+w19*x9+w110*x10+w111*x11+w112*x12),
exp122 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8+w29*x9+w210*x10+w211*x11+w212*x12),
exp123 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8+w39*x9+w310*x10+w311*x11+w312*x12),
exp124 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8+w49*x9+w410*x10+w411*x11+w412*x12),
exp125 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8+w59*x9+w510*x10+w511*x11+w512*x12),
exp126 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8+w69*x9+w610*x10+w611*x11+w612*x12),
exp127 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8+w79*x9+w710*x10+w711*x11+w712*x12),
exp128 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8+w89*x9+w810*x10+w811*x11+w812*x12),
exp129 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7+w98*x8+w99*x9+w910*x10+w911*x11+w912*x12),
exp130 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8+w09*x9+w010*x10+w011*x11+w012*x12+w013*x13),
exp131 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8+w19*x9+w110*x10+w111*x11+w112*x12+w113*x13),
exp132 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8+w29*x9+w210*x10+w211*x11+w212*x12+w213*x13),
exp133 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8+w39*x9+w310*x10+w311*x11+w312*x12+w313*x13),
exp134 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8+w49*x9+w410*x10+w411*x11+w412*x12+w413*x13),
exp135 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8+w59*x9+w510*x10+w511*x11+w512*x12+w513*x13),
exp136 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8+w69*x9+w610*x10+w611*x11+w612*x12+w613*x13),
exp137 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8+w79*x9+w710*x10+w711*x11+w712*x12+w713*x13),
exp138 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8+w89*x9+w810*x10+w811*x11+w812*x12+w813*x13),
exp139 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7+w98*x8+w99*x9+w910*x10+w911*x11+w912*x12+w913*x13),
exp140 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8+w09*x9+w010*x10+w011*x11+w012*x12+w013*x13+w014*x14),
exp141 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8+w19*x9+w110*x10+w111*x11+w112*x12+w113*x13+w114*x14),
exp142 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8+w29*x9+w210*x10+w211*x11+w212*x12+w213*x13+w214*x14),
exp143 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8+w39*x9+w310*x10+w311*x11+w312*x12+w313*x13+w314*x14),
exp144 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8+w49*x9+w410*x10+w411*x11+w412*x12+w413*x13+w414*x14),
exp145 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8+w59*x9+w510*x10+w511*x11+w512*x12+w513*x13+w514*x14),
exp146 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8+w69*x9+w610*x10+w611*x11+w612*x12+w613*x13+w614*x14),
exp147 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8+w79*x9+w710*x10+w711*x11+w712*x12+w713*x13+w714*x14),
exp148 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8+w89*x9+w810*x10+w811*x11+w812*x12+w813*x13+w814*x14),
exp149 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7+w98*x8+w99*x9+w910*x10+w911*x11+w912*x12+w913*x13+w914*x14),
